pair_lo,pair_hi,alerts,cum_pct
Hydrochlorothiazide,Insulin human (regular),1742,4.7
Hydrochlorothiazide,Insulin human (isophane),1741,9.4
Amlodipine,Hydrochlorothiazide,1609,13.8
Metformin,Simvastatin,933,16.3
Lisinopril,Simvastatin,925,18.8
Metformin,Nitroglycerin,711,20.7
Lisinopril,Metoprolol,707,22.7
Metformin,Metoprolol,704,24.6
Lisinopril,Nitroglycerin,684,26.4
Clopidogrel,Hydrochlorothiazide,650,28.2
Lisinopril,Metformin,620,29.9
Acetaminophen,Simvastatin,576,31.4
Alendronic acid,Amlodipine,541,32.9
Lisinopril,Oxycodone,490,34.2
Acetaminophen,Amlodipine,449,35.4
Acetaminophen,Salbutamol,429,36.6
Acetaminophen,Hydrochlorothiazide,406,37.7
Simvastatin,Tacrolimus,401,38.8
Verapamil,Warfarin,372,39.8
Metoprolol,Tacrolimus,354,40.7
Tacrolimus,Warfarin,350,41.7
Alendronic acid,Digoxin,350,42.6
Tacrolimus,Verapamil,350,43.6
Nitroglycerin,Tacrolimus,340,44.5
Lisinopril,Naproxen,338,45.4
Alendronic acid,Hydrochlorothiazide,336,46.3
Oxycodone,Salbutamol,335,47.2
Acetaminophen,Fluticasone,330,48.1
Lisinopril,Salbutamol,330,49.0
Acetylsalicylic acid,Alendronic acid,306,49.8
Acetylsalicylic acid,Insulin human (regular),302,50.7
Acetylsalicylic acid,Insulin human (isophane),302,51.5
Acetaminophen,Ibuprofen,293,52.3
Salbutamol,Salmeterol,292,53.1
Metoprolol,Warfarin,278,53.8
Simvastatin,Warfarin,277,54.6
Nitroglycerin,Warfarin,276,55.3
Prasugrel,Warfarin,271,56.1
Galantamine,Hydrochlorothiazide,261,56.8
Fentanyl,Hydrocodone,253,57.4
Acetaminophen,Fentanyl,246,58.1
Metoprolol,Simvastatin,236,58.8
Oxycodone,Simvastatin,230,59.4
Nitroglycerin,Simvastatin,227,60.0
Hydrocortisone,Insulin human (isophane),217,60.6
Hydrocortisone,Insulin human (regular),217,61.2
Acetylsalicylic acid,Amlodipine,215,61.7
Cyanocobalamin,Hydrochlorothiazide,211,62.3
Amlodipine,Hydrocodone,210,62.9
Simvastatin,Tropicamide,205,63.4
Hydrochlorothiazide,Hydrocodone,203,64.0
Acetaminophen,Tramadol,198,64.5
Cisplatin,Hydrochlorothiazide,197,65.1
Etoposide,Hydrochlorothiazide,197,65.6
Salbutamol,Warfarin,192,66.1
Salmeterol,Warfarin,192,66.6
Alendronic acid,Fluticasone,184,67.1
Metoprolol,Verapamil,181,67.6
Nitroglycerin,Verapamil,181,68.1
Acetylsalicylic acid,Digoxin,181,68.6
Simvastatin,Verapamil,180,69.1
Acetaminophen,Chlorpheniramine,179,69.6
Naproxen,Oxycodone,178,70.1
Naproxen,Tacrolimus,176,70.5
Nebivolol,Verapamil,175,71.0
Naproxen,Verapamil,175,71.5
Acetaminophen,Clopidogrel,175,72.0
Tacrine,Verapamil,175,72.4
Naproxen,Warfarin,175,72.9
Acetaminophen,Epinephrine,172,73.4
Codeine,Hydrocodone,171,73.8
Chlorpheniramine,Hydrocodone,159,74.3
Naproxen,Salbutamol,155,74.7
Lisinopril,Tacrolimus,148,75.1
