rxnorm_ingredient,rxcui,ddinter_drug,match_method,prescriptions,routes,unmatched_reason
epoetin alfa,105694,,unmatched,8760,systemic,"no epoetin entry; DDInter carries only Darbepoetin alfa, a different drug"
"insulin, regular, human",253182,Insulin human (regular),curated_inn_synonym,5908,systemic,
insulin isophane,1605101,Insulin human (isophane),curated_inn_synonym,5900,systemic,
lisinopril,29046,Lisinopril,exact,4627,systemic,
acetaminophen,161,Acetaminophen,exact,3755,systemic,
hydrochlorothiazide,5487,Hydrochlorothiazide,exact,3742,systemic,
amlodipine,17767,Amlodipine,exact,3673,systemic,
sodium fluoride,9873,,unmatched,3108,dental,no fluoride entry; the only match on 'fluoride' is Sulfur hexafluoride
cisplatin,2555,Cisplatin,exact,2791,systemic,
metformin,6809,Metformin,exact,2529,systemic,
paclitaxel,56946,Paclitaxel,exact,2275,systemic,
albuterol,435,Salbutamol,curated_inn_synonym,1719,inhalation,
tacrolimus,42316,Tacrolimus,exact,1389,systemic,
oxycodone,7804,Oxycodone,exact,1377,systemic,
simvastatin,36567,Simvastatin,exact,1253,systemic,
alendronate,46041,Alendronic acid,curated_inn_synonym,1178,systemic,
hydrocodone,5489,Hydrocodone,exact,1171,systemic,
ibuprofen,5640,Ibuprofen,exact,1015,systemic,
fluticasone,41126,Fluticasone,exact,972,inhalation,
furosemide,4603,Furosemide,exact,912,systemic,
tropicamide,10869,Tropicamide,exact,695,ophthalmic,
budesonide,19831,Budesonide,exact,661,inhalation,
etoposide,4179,Etoposide,exact,548,systemic,
ethinyl estradiol,4124,Ethinylestradiol,curated_inn_synonym,483,local|systemic|topical,
inert ingredients,748794,,unmatched,391,systemic,not a drug; an artefact of Synthea's contraceptive pack descriptions
amoxicillin,723,Amoxicillin,exact,371,systemic,
warfarin,11289,Warfarin,exact,349,systemic,
tramadol,10689,Tramadol,exact,313,systemic,
levonorgestrel,6373,Levonorgestrel,exact,308,implant|systemic,
norethindrone,31983,Norethisterone,curated_inn_synonym,277,systemic,
salmeterol,36117,Salmeterol,exact,262,inhalation,
clavulanate,48203,Clavulanic acid,curated_inn_synonym,249,systemic,
fentanyl,4337,Fentanyl,exact,233,systemic|topical,
digoxin,3407,Digoxin,exact,230,systemic,
verapamil,11170,Verapamil,exact,230,systemic,
codeine,2670,Codeine,exact,226,systemic,
naproxen,7258,Naproxen,exact,220,systemic,
enoxaparin,67108,Enoxaparin,exact,197,systemic,
losartan,52175,Losartan,exact,195,systemic,
metoprolol,6918,Metoprolol,exact,178,systemic,
nitroglycerin,4917,Nitroglycerin,exact,172,systemic,
penicillin V,7984,Phenoxymethylpenicillin,curated_inn_synonym,167,systemic,
etonogestrel,14584,Etonogestrel,exact,160,implant|local,
carvedilol,20352,Carvedilol,exact,144,systemic,
doxylamine,3642,Doxylamine,exact,142,systemic,
dextromethorphan,3289,Dextromethorphan,exact,142,systemic,
clopidogrel,32968,Clopidogrel,exact,138,systemic,
aspirin,1191,Acetylsalicylic acid,curated_inn_synonym,136,systemic,
epinephrine,3992,Epinephrine,exact,133,systemic,
drospirenone,11636,Drospirenone,exact,105,systemic,
norgestimate,31994,Norgestimate,exact,105,systemic,
medroxyprogesterone,6691,Medroxyprogesterone acetate,curated_inn_synonym,102,systemic,
dienogest,22968,Dienogest,exact,101,systemic,
estradiol,4083,Estradiol,exact,101,systemic,
proparacaine,34905,Proparacaine (ophthalmic),curated_inn_synonym,84,ophthalmic,
bevacizumab,253337,Bevacizumab,exact,77,systemic,
buprenorphine,1819,Buprenorphine,exact,76,systemic,
naloxone,7242,Naloxone,exact,76,systemic,
oxaliplatin,32592,Oxaliplatin,exact,62,systemic,
leucovorin,6313,Leucovorin,exact,62,systemic,
loratadine,28889,Loratadine,exact,59,systemic,
vitamin B12,11248,Cyanocobalamin,curated_inn_synonym,57,systemic,
ferrous sulfate,24947,Ferrous sulfate anhydrous,curated_inn_synonym,53,systemic,
heparin,5224,Heparin,exact,48,systemic,
ondansetron,26225,Ondansetron,exact,44,systemic,
meperidine,6754,Meperidine,exact,43,systemic,
ciprofloxacin,2551,Ciprofloxacin,exact,41,systemic,
rocuronium,68139,Rocuronium,exact,39,systemic,
propofol,8782,Propofol,exact,39,systemic,
fexofenadine,87636,Fexofenadine,exact,38,systemic,
nitrofurantoin,7454,Nitrofurantoin,exact,38,systemic,
diphenhydramine,3498,Diphenhydramine,exact,37,systemic,
cefazolin,2180,Cefazolin,exact,37,systemic,
midazolam,6960,Midazolam,exact,36,systemic,
hydrocortisone,5492,Hydrocortisone,exact,36,topical,
prasugrel,613391,Prasugrel,exact,35,systemic,
protamine sulfate (USP),8825,,unmatched,34,systemic,"present only inside combination insulin names, not standalone"
norelgestromin,326374,Norelgestromin,exact,31,topical,
isoflurane,6026,Isoflurane,exact,27,inhalation,
atorvastatin,83367,Atorvastatin,exact,27,systemic,
chlorpheniramine,2400,Chlorpheniramine,exact,25,systemic,
diazepam,3322,Diazepam,exact,25,systemic,
carbamazepine,2002,Carbamazepine,exact,24,systemic,
prednisone,8640,Prednisone,exact,22,systemic,
cefuroxime,2194,Cefuroxime,exact,22,systemic,
galantamine,4637,Galantamine,exact,22,systemic,
sulfamethoxazole,10180,Sulfamethoxazole,exact,21,systemic,
clonazepam,2598,Clonazepam,exact,21,systemic,
