"bin","n","mean_score","observed","k","lower","upper"
1,3693,0.248312008613577,0.0552396425670187,204,0.0483231071443112,0.0630805299495799
2,3693,0.350486793720654,0.033306255077173,123,0.0279866657124361,0.0395957808819757
3,3693,0.405696850381757,0.0322231248307609,119,0.0269958837423132,0.0384225534447169
4,3693,0.443663136812195,0.0211210398050366,78,0.0169568946547635,0.0262804461066042
5,3693,0.47799677209779,0.0568643379366369,210,0.049845328856688,0.0648043223482757
6,3693,0.504300225165027,0.0890874627673978,329,0.0803214861974771,0.0987074448770921
7,3693,0.537099587526043,0.0777145951800704,287,0.0695119924875353,0.0867948398095261
8,3693,0.575063568915623,0.0630923368535066,233,0.055695717031948,0.0713969882654604
9,3693,0.633362089303099,0.0528025995125914,195,0.0460431213653692,0.0604914945619132
10,3692,0.756151101736712,0.0433369447453954,160,0.0372298823366291,0.0503933534643858
