"strategy","threshold","nb"
"Interrupt all (Policy A)",0.01,0.0429081631117971
"Interrupt all (Policy A)",0.015,0.0380498289143951
"Interrupt all (Policy A)",0.02,0.033141919878244
"Interrupt all (Policy A)",0.025,0.0281836733135171
"Interrupt all (Policy A)",0.03,0.0231743108048239
"Interrupt all (Policy A)",0.035,0.0181130378038126
"Interrupt all (Policy A)",0.04,0.0129990432090408
"Interrupt all (Policy A)",0.045,0.00783149893264831
"Interrupt all (Policy A)",0.05,0.00260955945334646
"Interrupt all (Policy A)",0.055,-0.00266763864478398
"Interrupt all (Policy A)",0.06,-0.00800097714821369
"Interrupt all (Policy A)",0.065,-0.013391356705156
"Interrupt all (Policy A)",0.07,-0.0188396973326031
"Interrupt all (Policy A)",0.075,-0.0243469389398063
"Interrupt all (Policy A)",0.08,-0.029914041868827
"Interrupt all (Policy A)",0.085,-0.0355419874528097
"Interrupt all (Policy A)",0.09,-0.0412317785926603
"Interrupt all (Policy A)",0.095,-0.0469844403528407
"Interrupt all (Policy A)",0.1,-0.0528010205770232
"Interrupt all (Policy A)",0.105,-0.0586825905243808
"Interrupt all (Policy A)",0.11,-0.0646302455273268
"Interrupt all (Policy A)",0.115,-0.070645105671549
"Interrupt all (Policy A)",0.12,-0.0767283164992282
"Interrupt all (Policy A)",0.125,-0.0828810497363667
"Interrupt all (Policy A)",0.13,-0.0891045040451964
"Interrupt all (Policy A)",0.135,-0.0953999058026831
"Interrupt all (Policy A)",0.14,-0.101768509906187
"Interrupt all (Policy A)",0.145,-0.108211600607393
"Interrupt all (Policy A)",0.15,-0.114730492375672
"Interrupt all (Policy A)",0.155,-0.121326530792096
"Interrupt all (Policy A)",0.16,-0.128001093475382
"Interrupt all (Policy A)",0.165,-0.134755591041103
"Interrupt all (Policy A)",0.17,-0.141591468095567
"Interrupt all (Policy A)",0.175,-0.148510204265843
"Interrupt all (Policy A)",0.18,-0.155513315267464
"Interrupt all (Policy A)",0.185,-0.162602354011437
"Interrupt all (Policy A)",0.19,-0.169778911752248
"Interrupt all (Policy A)",0.195,-0.177044619278659
"Interrupt all (Policy A)",0.2,-0.184401148149151
"Interrupt all (Policy A)",0.205,-0.191850211973989
"Interrupt all (Policy A)",0.21,-0.199393567745976
"Interrupt all (Policy A)",0.215,-0.207033017222065
"Interrupt all (Policy A)",0.22,-0.214770408358104
"Interrupt all (Policy A)",0.225,-0.222607636799124
"Interrupt all (Policy A)",0.23,-0.230546647427689
"Interrupt all (Policy A)",0.235,-0.238589435972968
"Interrupt all (Policy A)",0.24,-0.246738050683317
"Interrupt all (Policy A)",0.245,-0.254994594065326
"Interrupt all (Policy A)",0.25,-0.263361224692428
